Source,Reference,Hypothesis
“这些费用估算包括了人员费用、维护费用以及许多其他固定成本（即那些不会随着时间而发生变化的成本），这些费用都被纳入了年度预算中。”,"""These rate estimates include personnel, maintenance and many other sunk costs that are included in annual appropriations.""","The amounts estimates include workers costs, maintenance costs, and other other additional costs (including those without changing time)."
根据兰德公司（RAND）2015年的一项研究，美国国防部（DoD）的报销标准并未包含人员费用，但确实涵盖了燃料费用、维护费用以及合同相关费用。,"According to a 2015 RAND study, DoD reimbursement rates do not include the cost of personnel, but do account for fuel, maintenance, and contracting costs.","The US Defense Department (RAND)’s annual report, which does not include personnel expenses, maintenance costs, and contracts."
当时，前白宫新闻秘书肖恩·斯派塞为在这次活动中使用直升机的行为进行了辩护。,"At the time, former White House press secretary Sean Spicer defended the use of the helicopter for the event.","The former newspaper Secretary of the British newspaper, Nicholas Cohen, was asked to use a helicopter."
“我们的目的是在本周展示那些在美国制造的产品，”斯派塞说道。,"""The idea is to showcase this week things that are made in America,"" Spicer said.",The objective is to show their products in the coming months.
“我知道西科斯基公司（Sikorsky）以及康涅狄格州都为能够为我们的国家安全做出贡献而感到非常自豪；我想，有成百上千的人的工作都依赖于西科斯基公司的产品或服务。”,"""And I know Sikorsky and the state of Connecticut are very proud of the fact that they contribute to our national security, that there are, I assume, hundreds if not thousands of people whose job depends on that.",The truth is that the Sikorsky and the Sierra Leone corporations (Sikorsky) and the Sierra Leone province are proud to serve our security; I know that almost half of the work of a hundred of people are responsible for their security.
我认为，和大多数美国人一样，我们都为那些直升机以及其他军事装备感到自豪；这些装备的研制过程中，有无数美国人付出了辛勤的努力。,"And I think, like most Americans, we're all proud of the helicopter and other military equipment that so many Americans worked tirelessly to do.","The truth is that, and most Americans, we have a proud effort to deploy these aircraft and other military equipment; these weapons have been a huge success."
因此，当然有必要强调这一点。,"So, of course, it's appropriate to highlight that.""","Then, there is no need to explain this."
目前尚不清楚特朗普在参观南草坪期间是否与那架直升机有过互动，但他确实坐上了消防车的驾驶座。,"It wasn't clear whether Trump interacted with the helicopter as he toured the South Lawn for the event, but he did step into the driver's seat of a fire truck.","The currently is not clear that Trump is watching the helicopter during the summit, but he is already driving a helicopter."
在白宫内，特朗普与西科斯基公司的代表们进行了交谈，并就自己拥有的该公司产品开玩笑，还与媒体开了个玩笑。,"Inside the White House, Trump addressed Sikorsky representatives, joking with the media about his own fleet of company products.","The Trump’s leaders were talking about the corporate employees and their products, and their businesses were talking about their products, and their media."
“我非常了解西科尔斯基公司的产品，”总统说道，“我拥有三架西科尔斯基公司的飞机。”,"""I know Sikorsky very well,"" the President said, ""I have three of them.""","The President said that I know that I have a few aircraft in the southern states,” President Donald Trump said, “I have a Boeing aircraft.”"
习近平关于全面加强党的纪律的精彩比喻,Brilliant Metaphors of Xi Jinping about Comprehensively Strengthening Party Discipline,The famous illustration of the importance of a democratic leadership is a remarkable example of a democratic leadership.
在中国共产党第十九届中央纪律检查委员会第二次全体会议上，习近平总书记于1月11日发表了主旨演讲，强调“我们必须继续沿着全面加强党的纪律这条道路前进，开创全面加强党的纪律工作的新局面”。,"During the second plenary session of the 19th Central Commission for Discipline Inspection of the Communist Party of China, General Secretary Xi Jinping gave a keynote speech on January 11, emphasizing that “we should keep marching ahead on the road of adhering to the principle of comprehensively strengthening party discipline and creating a new situation for comprehensively strengthening party discipline”.","In the second annual meeting of the Islamic State’s Constitutional Committee, a speech in the Geneva Convention, a speech in the Geneva Convention, called “We must continue to continue to shift a new path to a critical reform of a structural reform.”"
在全面加强党的纪律方面，习近平总书记使用了许多生动而富有感染力的比喻。让我们一起来回顾一下这些比喻吧！,"With respect to comprehensively strengthening party discipline, General Secretary Xi Jinping has given many vivid and impressive metaphors, so let’s review them together!","In the framework of a structural reform, a few examples of a healthy and healthy awareness of a democratic principle."
一旦发现证据，我们就应立即与那些“老虎”（高级腐败官员）作斗争；同时，也必须处理那些“苍蝇”（低级腐败官员）。我们应该将全面加强党的纪律的原则推广到基层党组织中，并尽一切努力解决普通民众日常生活中遇到的腐败问题。,"We should fight against “tigers” (high-ranking corrupt officials) immediately after we find evidence, and we should also deal with those “flies” (low-ranking corrupt officials) at the same time. We should spread the principle of comprehensively strengthening party discipline to grass-roots party organizations and make every effort to deal with those corruption problems in daily life of the general public.","The evidence is necessary to establish a framework for a “fake” officials; and, while we must apply a strict constitutional principle to ensure that they are able to restore the constitutional principles of a democratic authority to the communities of citizens."
2018年1月11日，习近平在中国共产党第十九届中央纪律检查委员会第二次全体会议上发表了主旨演讲。,"-- On January 11, 2018, Xi Jinping gave a keynote speech during the second plenary session of the 19th Central Commission for Discipline Inspection of the Communist Party of China","The following November 11, 2018, President Xi Jinping published a speech in the Geneva Convention on the Constitutional Tribunal of the Constitutional Assembly."
各级负责纪律检查与监督工作的官员都必须具备忠诚、坚定、负责、遵纪守法以及诚实正直的品质。只有这样，才能确保党和人民赋予的权力不被滥用，也才能让那把用于表彰美德、惩治邪恶的“利剑”始终保持锋利、不被尘封。,"Officials responsible for discipline inspection and supervision at all levels should be loyal and determined, responsible, discipline and law-abiding, honest and upright in order to ensure that the power granted by the Party and the people will not be abused, and the sharp sword used for praising virtue and punishing vice will never be covered by dust.","The officials who are responsible for defense and supervision requires a rigorous, rigorous, prudent, and prudent attitude to ensure that the citizens and the people deserve their rights to promote democracy, persecution, and justice, would be able to ensure that they deserve a “weapon” would be a victory, without a lack of dignity, and a victory."
2018年1月11日，习近平在中国共产党第十九届中央纪律检查委员会第二次全体会议上发表了主旨演讲。,"-- On January 11, 2018, Xi Jinping gave a keynote speech during the second plenary session of the 19th Central Commission for Discipline Inspection of the Communist Party of China","The following November 11, 2018, President Xi Jinping published a speech in the Geneva Convention on the Constitutional Tribunal of the Constitutional Assembly."
仅通过做些表面功夫、不切实际的行为以及喊口号，是无法确保政策得到有效实施的。如果没有实际行动，仅仅依靠召开会议和发布文件，我们也无法真正实现政策的有效执行。我们必须以务实的方式开展工作。,"It is impossible to ensure implementation of policies by taking showy and impractical actions and shouting slogans. Without practical actions, we can’t ensure proper implementation of policies only by holding meetings and issuing documents. We must do our works in a practical manner.","But, without a sharp attitude, a lack of evidence, and a brief speech, we must not ensure that policy is successful."
2017年12月25日至26日期间，习近平在中国共产党的中央政治局召开的民主生活会上发表了主旨讲话。,"-- During December 25 and 26, 2017, Xi Jinping gave a keynote speech at the meeting of democratic life held by Political Bureau of the Central Committee of the CPC","The speech was published in the Parliament of the Socialist Party in December 26th, when he took a speech in the Parliament of the Socialist Party in the Parliament."
我们来自政治局的老同志应当学习历史，保持理性；绝不能混淆公共利益与个人利益，颠倒黑白，模糊正义与利益之间的界限，也不能以任人唯亲的态度来处理问题。你们应该以身作则，带头坚持诚实和自律，为党树立一种以诚实和正直为特征的工作作风。,"Our comrades from the Political Bureau should learn about history and be reasonable and must not confuse public and private interests, call white black, blur the boundary between righteousness and benefits or handle issues based on nepotism. You should erect a “wind vane” by taking the lead in adhering to honesty and self-discipline and help establish a work style for the party characterized by honesty and integrity.","The young people who are political leaders should learn history, maintain confidence, and maintain a genuine and genuine attitude to their needs, and maintain a genuine and genuine attitude to a society that would be a genuine and genuine attitude to a society."
2017年12月25日至26日期间，习近平在中国共产党的中央政治局召开的民主生活会上发表了主旨讲话。,"-- During December 25 and 26, 2017, Xi Jinping gave a keynote speech at the meeting of democratic life held by Political Bureau of the Central Committee of the CPC","The speech was published in the Parliament of the Socialist Party in December 26th, when he took a speech in the Parliament of the Socialist Party in the Parliament."
一个有美德的人会吸引其他有美德的人；这样一来，所有人都会效仿那些比自己更优秀的人，这种行为就会成为一种普遍的习俗。人员的任命就像“风向标”一样，它不仅决定了干部的工作方式，也间接影响了整个党的工作风格。,"A person of virtue will attract a group of persons of virtue, so all people will emulate those better than themselves and the action will become a common practice. Personnel appointment serves as the “wind vane”, which will determine the work style of cadres and even the work style of the Party.","The attractive person would attract other females; it is a very popular attitude that would promote a few females, which would become a very popular characteristic of the society."
——摘自习近平2013年6月28日在全国组织工作会议上的讲话,"-- From the speech delivered by Xi Jinping at the National Organization Working Conference on June 28, 2013","The speech of President Xi Jinping 2013, which was published in the annual committee meeting in June 28 in the Geneva Convention."
铁匠必须具备必要的技能，才能出色地完成自己的工作。政党应当团结人民，带领他们投身于伟大的斗争中，推动各项重要事业的发展，并实现崇高的梦想。我们必须坚定不移地坚持和完善党的领导，使党变得更加强大。,"A blacksmith must have necessary skills in order to do his job in a great way. The Party should unite the people and lead them in fighting great battles, pushing forward great causes and realizing great dreams. We should adhere to and improve the Party’s leadership and make the Party become stronger unswervingly.","The artisans must be willing to accomplish their work, and ensure that they are able to contribute to their efforts to accomplish their efforts, and ensure that they are a stronger and successful."
——2017年10月18日，在中国共产党第十九次全国代表大会上，习近平指出以下内容：,"-- On October 18, 2017, Xi Jinping pointed out the following during the 19th CPC National Congress","The following topics were presented in the Constitution of the Third World Congress, which took place in the October 18th, in the Parliament of the Constitution of the Constitution of the Constitution."
目前，反腐败斗争仍面临着复杂而严峻的形势。因此，我们必须坚定不移地巩固已经取得的压倒性成果，最终赢得这场斗争的彻底胜利。,"At present, the anti-corruption campaign is still facing a complex and challenging situation, so we must be rock-firm determined to consolidate the overwhelming trend and win an overwhelming victory.","The current crisis has remained a complex and severe situation, because we must remain focused on a serious and severe situation that we must ensure that we must remain a successful victory."
——2017年10月18日，在中国共产党第十九次全国代表大会上，习近平指出以下内容：,"-- On October 18, 2017, Xi Jinping pointed out the following during the 19th CPC National Congress","The following topics were presented in the Constitution of the Third World Congress, which took place in the October 18th, in the Parliament of the Constitution of the Constitution of the Constitution."
在反腐败运动中，我们必须坚持“没有禁区、全覆盖、零容忍”的原则，坚决做到“打虎”“拍蝇”“猎狐”。我们的主要目标是让官员们不敢腐败。用于预防腐败的“笼子”正变得越来越牢固，能够阻挡腐败念头的“堤坝”也在不断构建中。反腐败运动正呈现出一种不可阻挡的强劲势头，并且正日益得到巩固和发展。,"During the anti-corruption campaign, we must adhere to the principles of no forbidden zone, full coverage and zero tolerance and should be determined to “fight against tigers”, “beat flies” and “hunt foxes”. The goal of ensuring that officials dare not become corrupt is primarily achieved. The cage used for preventing corruption is getting increasingly secure, and the dam that can block intention of corruption is being built. An overwhelming trend of the anti-corruption campaign takes shape and is becoming increasingly consolidated and developed.","In anti-corruption movement, we must adhere to “not allowed, without a limit, a lack of transparency, and a lack of transparency” principles, which would be increasingly stable, and remains growing."
——2017年10月18日，在中国共产党第十九次全国代表大会上，习近平指出以下内容：,"-- On October 18, 2017, Xi Jinping pointed out the following during the 19th CPC National Congress","The following topics were presented in the Constitution of the Third World Congress, which took place in the October 18th, in the Parliament of the Constitution of the Constitution of the Constitution."
各级领导干部都应带头执行各项规章制度，在行使权力时牢牢把握“方向盘”，同时系好“安全带”以确保自身的廉洁自律。此外，他们还应努力摒弃不良作风、弘扬美德，增强抵御腐败的能力，消除各种不良因素；在营造廉洁公正的政治生态方面履行好自己的职责，并在这一过程中作出积极贡献。,"Leading cadres at all levels should take the lead in implementing the Codes and Rules, hold the “steering wheel” in exercising power and fasten the “safety belt” for ensuring integrity. In addition, they should also make efforts to eliminate vice and exalt virtue, strengthen resistance against corruption and eliminate evil factors, perform their duties in creating an honest and upright political ecology and make their contributions during the process.","The citizens must adhere to these rules, which would ensure that they must maintain a “safe zone” to ensure that they are able to maintain a democratic attitude, maintain a democratic attitude, and maintain a democratic atmosphere, while maintaining a democratic atmosphere."
2017年3月8日，在第十二届全国人民代表大会第五次会议上审议四川省代表团时，习近平强调了以下内容：,"-- On March 8, 2017, Xi Jinping emphasized the following during review of the Sichuan Delegation at the 5th session of the 12th National People's Congress","The following speech was published in the July 8, in the Third Summit of the National People’s Party, which took place in the July 8, in the Parliament of the Spanish Council, Erdoğan pointed out these topics:"
中国共产党的反腐败运动并非那种对不同人群采取不同态度的“势利机构”；也不是那种以权力争夺和利益纷争为特征的“纸牌屋”；更不是那种只有开始而没有结局的“未完成建筑”。,"The anti-corruption campaign of the CPC isn’t a “Snobbish Shop” that treating different people with different attitudes, or a “House of Cards” characterized by fighting for power and benefit, or an “unfinished building” having a beginning but no end.",The democratic crisis is not a “political institution” that does not be a “settlement corporation”; but a “settlement corporation that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would be a “house” that would
——摘自习近平2016年1月12日在中国共产党第十八届中央纪律检查委员会第六次全体会议上的讲话,"-- From the speech delivered by Xi Jinping at the 6th plenary session of the 18th Central Commission for Discipline Inspection of the Communist Party of China on January 12, 2016","The speech of the President Xi Jinping 2016, during the Third Summit of the Constitutional Tribunal of the Constitutional Assembly, which took place in November 12 in the Parliament of the Constitutional Assembly, during the Third Summit of the Constitutional Assembly, during the Third Summit of the Constitutional Assembly."
要实现全面建设小康社会的目标，实现中华民族伟大复兴的中国梦，关键在于培养和建设一支具有坚定信仰、坚强信念、严明纪律和高度责任感的干部队伍。,"To achieve the goal of building a moderately well-off society in an all-round way and realize the Chinese Dream of achieving the great rejuvenation of the Chinese nation, it is key to cultivate and build a cadre team with iron-clad faith, belief, discipline and sense of responsibility.","The goal of developing a sustainable society, which is crucial to achieve the successful growth of the world’s successful economy, is to build and build a leadership team that requires a strong courage, courageous courage, and a courageous leadership."
——摘自习近平2015年12月11日在全国党校工作会议上的讲话,"-- From the speech delivered by Xi Jinping at National Party School Working Conference on December 11, 2015","The speech of 习近平 in November 11th, during the annual parliamentary meeting in the parliamentary meeting in the parliamentary meeting in the parliament."
我们应该深入推进反腐败斗争，下大力气拔除“腐朽的树木”、治理“病态的树木”，并让那些“弯曲的树木”重新挺直；通过这些行动来警示和提醒各级领导干部。,"We should push forward the anti-corruption campaign in an in-depth manner and make great efforts to uproot “rotten trees”, fix “sick trees” and make “crooked trees” become upright in order to alert, warn and caution leading cadres.","The needs to establish a political crisis, taking initiative to restore “golden trees” and restore “cancer” trees, and restore “cancer” trees; using these actions to warn and warn citizens."
2015年3月6日，在第十二届全国人民代表大会第三次会议上审议江西省代表团时，习近平指出以下内容：,"-- On March 6, 2015, Xi Jinping pointed out the following during review of the Jiangxi Delegation at the 3rd session of the 12th National People's Congress","The following year, in the Third Summit of the National People’s Party, Erdoğan told the following topics:"
理想与信念是共产党成员精神世界的“支柱”；因此我们必须加强思想政治建设，解决一切与世界观、人生观和价值观相关的问题。这些问题实际上掌控着人们思想行为的“主导权”（即“关键因素”）。,"Ideal and belief serve as “calcium” for the spirit of members of the Communist Party, so we must strength ideological and political construction and solve any problem concerning outlook on world, outlook on life and values, which is the “master switch”.","The philosophy and 信念 is the “pillar of the society’s leadership,” which means a “major factor” in the world’s values, values, and value."
2014年1月20日，习近平在第一批教育实践活动总结会议暨第二批教育实践活动部署会议上发表了主旨讲话。这些活动都是围绕党的群众路线展开的。,"-- On January 20, 2014, Xi Jinping gave a keynote speech at the summing-up meeting for the first batch & the deployment meeting for the second batch of educational and practical activities concerning the mass line of the Party","The following annual educational initiatives in 2014, Erdoğan published a speech in the first annual educational initiative and the second annual education initiative."
我们应该以务实的方式落实组织纪律，绝不能容忍任何特权或例外行为。各级党组织都应当勇于维护纪律，让纪律真正成为一条具有约束力的“高压线”。,We should implement organizational discipline in a practical manner and must not tolerate privilege or exception. Party organizations at all levels should dare to maintain discipline in order to make discipline become an actually live high-voltage line.,"The rules should be a prudent way to enforce a strict rules, without a lack of authority or restrictions."
2014年1月14日，习近平在中国共产党第十八届中央纪律检查委员会第三次全体会议上发表了主旨演讲。,"-- On January 14, 2014, Xi Jinping gave a keynote speech at the 3th plenary session of the 18th Central Commission for Discipline Inspection of the Communist Party of China","The following month, President Xi Jinping published a speech in the Parliament of the Constitutional Tribunal of the Constitutional Council on the Third Summit of the Constitutional Assembly."
批评与自我批评是一剂良药，也是对我们同志和自己进行切实关怀的重要方式。开展批评与自我批评需要勇气和党性；我们绝不能放弃这一用来保护自己、消除问题的“武器”。,"Criticism and self-criticism serve as a good medicine and the actual care given to our comrades and ourselves. Performing criticism and self-criticism needs courage and party spirit, and we must not lose our weapon used for defending ourselves and treating diseases.","The debate and silence is a useful way to protect our citizens and others, and we must not abandon this weapon to protect ourselves and avoid problems."
2013年9月25日，习近平在河北省党委常委班子参加的民主生活会专题会议上强调了以下内容：,"-- On September 25, 2013, Xi Jinping emphasized the following at the special meeting of democratic life attended by the leading group of the standing committee under the Party committee of Hebei Province","The debate in 2013, a speech in the provincial parliamentary committee in the provincial parliament of the provincial parliament, announced that the following topics:"
我们应该努力加强对权力行使的制约与监督，将权力置于由规章制度构成的“笼子”之中；同时建立一套惩罚机制，让官员不敢腐败；建立一套预防机制，使官员无法实施腐败行为；再建立一套保障机制，促使官员自觉防范腐败。,"We should make efforts to strength restriction and supervision on exercise of power, put power into the cage formed by rules and regulations and establish a punishment mechanism which makes officials dare not to be corrupt, a prevention mechanism which makes officials unable to practice corruption and a safeguard mechanism which makes officials tend to guard against corruption.","The effort to enhance the rights of democracy and regulation, establishing a “game” of authority, which would enable officials to avoid corruption; and establish a prevention mechanism, which would enable officials to avoid corruption; and establish a prevention mechanism, which would encourage officials to avoid corruption; and establish a prevention mechanism, which would encourage officials to avoid corruption; and establish a prevention mechanism, which would encourage "
——摘自习近平2013年1月22日在中国共产党第十八届中央纪律检查委员会第二次全体会议上的讲话,"-- From the speech delivered by Xi Jinping at the 2th plenary session of the 18th Central Commission for Discipline Inspection of the Communist Party of China on January 22, 2013","The speech of the President Xi Jinping 2013, during the Third Summit of the Constitutional Tribunal of the Constitutional Assembly, which took place in 2013, during the Third Summit of the Constitutional Assembly, during the Third Summit of the Constitutional Assembly."
那个晚上，帕蒂·史密斯身穿白色衬衫和黑色西装登上了舞台，在1500名现场观众的面前演唱了鲍勃·迪伦的歌曲《Tempest》。,"That night, Patti Smith took to the stage in a white shirt and black suit, and sang Bob Dylan’s “Tempest” in front of a live audience of 1,500 people.","The night, Nicolas Sarkozy looks a white blouse and a black velvet sleeve, which shows a thousand of audiences in the audience."
据悉，重庆目前拥有18项由国土资源部授予的页岩气勘探权，这些勘探权是国内首批获得的页岩气开采权，其中最著名的就是中石化涪陵页岩气田。,It is understood that Chongqing currently owns 18 shale gas exploration rights established by Ministry of Land and Resources as the first domestic shale gas mining rights - the Sinopec Fuling shale gas field.,"The following, the province has already established 18 species of fossil fuels, which are the first largest known by the 国土资源 Department, which is the most popular among the largest known fossil fuels."
截至2017年1月，重庆市共钻探了368口页岩气井（不包括用于测量参数的钻井孔），其中261口已投入生产。最近有消息称，中国石化在南川区平桥区块开发的4口页岩气勘探井的日产量均超过了20万立方米。预计今年中国石化的涪陵页岩气田的日产量将达到100亿立方米，这将成为北美以外首个实现商业化开发的大规模页岩气田。,"As for January 2017, a total of 368 shale gas wells (excluding parameter drill-holes) have been drilled in Chongqing, and 261 have commenced production. With recent positive news that the production volume of each of the four shale gas exploratory wells at Sinopec’s Southern Pingqiao block of the Nanchuan District has exceeded 200,000 cubic meters per day, Sinopec’s Fuling shale gas field, which is expected to have a planned capacity of 10 billion cubic meters this year, will become the first commercialized drilling of a large-scale shale gas field outside North America.","The province has built a 683-foot concrete pipeline (not including a microscope), which would be a huge amount of fossil fuels in the southern province of Chongqing, which would be a massive crop of a massive crop of fossil fuels."
据了解，一个储量为100亿立方米的页岩气田的产值相当于一个储量为1000万吨的油田的产值。,It is understood that a 10 billion cubic meter shale gas field is equivalent to a 10 million tonne oil field.,The amount of a fossil fuel capacity of 100 billion tons of fossil fuels is a relatively significant amount of fuels to a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel of a barrel.
页岩气是一种清洁能源。据估计，这个储量达100亿立方米的页岩气田的建成每年将有助于减少1200万吨二氧化碳的排放。,Shale gas is a clean energy resource. It is understood that the completion of the 10 billion cubic meter shale gas field will help cut 12 million tonnes of CO2 emission annually.,The fossil fuel is a clean energy that would help reduce the emissions of a massive amount of fossil fuels.
在功能手机时代，手机的基本功能主要包括拨打电话、发送短信以及创建简单的备忘录。不同手机之间的功能差异其实非常小。,"In a feature phone era, the basic functions of a mobile phone would be making a call, sending short text messages, and simple memos. The difference in the functions among mobile phones is quite small.","In the advanced mobile world, mobile basic features include sending emails, sending emails, and creating a simple notification."
自从计算机问世以来，许多科学家一直梦想着通过持续的努力，使机器智能逐渐向人类大脑的功能靠拢。,"Ever since computers were available, conscientious effort to make machine intelligence gradually transition toward the human brain has become a dream of many scientists.",The scientists have already dreamed to evolve their technological innovation through a long-term effort to generate machine-smart technologies to become a larger computing capacity.
《毒枭》第三季预告片：随着巴勃罗·埃斯科巴尔的倒台，卡利贩毒集团成为了Netflix这部热门剧集的核心角色。,"Narcos season 3 trailer: With Pablo Escobar gone, the Cali Cartel take centre stage in Netflix's hit series","The Second installment of the Netflix episode: When a murderer took place, the Netflix is the leading role of Netflix."
尽管《Narcos》第二季已经揭露了杀害巴勃罗·埃斯科巴尔的凶手，但这部Netflix剧集的剧情远未结束。,"Despite season two of Narcos revealing Pablo Escobar's killer, Netflix's series is far from over.","But the film shows that the film has revealed a murder of Mohamed Morsi, the film has already been released."
流媒体服务平台已经确认了第三季和第四季的播出计划；其中第三季的首支预告片已经发布，预告了剧中即将出现的反派角色。,"Season three and four have already been confirmed by the streaming service, the former receiving its first trailer, teasing the show's upcoming villains.","The broadcast services platform has confirmed that the first season and second season of the broadcast program, which announced the first season and second season, revealed the former actors that have already appeared."
在第三季中，美国缉毒局（DEA）将注意力转向了全球最富有的贩毒组织——卡利贩毒集团（Cali Cartel）。,"With season three, the DEA has turned their attention towards the richest drug trafficking organisation in the world: the Cali Cartel.","The second month, the US FBI’s FBI would shift attention to the world’s most wealthy killers – CaliCartel."
在四位权势极大的“教父”的领导下，他们像一家《财富》500强企业一样运作，只不过涉及更多的政府贿赂行为和暴力手段罢了。,"Led by four powerful godfathers, they operate ""like a Fortune 500 company"" just with more government bribes and violent actions.","In two rights-rich “teachers” leadership, they are a huge “father” of 500 companies, which includes more government corruption and violence."
